province,total_earthquakes,major_earthquakes_m3plus,major_earthquakes_m4plus,major_earthquakes_m5plus,avg_magnitude,max_magnitude,min_magnitude,std_magnitude,avg_depth,max_depth,min_depth,std_depth,shallow_quakes_lt10km,intermediate_quakes_10_70km,deep_quakes_gt70km
Surigao Del Sur,11796,2439,476,71,2.4292048151915906,7.4,1.1,0.7223242676968669,20.619362495761276,205.0,0.0,17.393183819382156,3002,8564,230
Zamboanga Sibugay,104,3,0,0,1.8423076923076922,3.8,1.2,0.4842554705080294,24.91346153846154,200.0,1.0,20.912258019502207,20,83,1
Sarangani,718,103,26,5,2.295682451253482,5.7,1.3,0.7171310962463328,33.410863509749305,493.0,1.0,48.61673460048771,90,586,42
Camarines Norte,263,52,15,0,2.4958174904942965,4.9,1.3,0.7412219106054659,11.908745247148289,121.0,1.0,15.982553690364616,164,98,1
Davao Oriental,4344,1258,202,21,2.6615561694290975,7.4,1.0,0.6824162149789446,37.209944751381215,229.0,1.0,39.26171809246706,620,3086,638
Occidental Mindoro,1874,252,51,4,2.233137673425827,5.9,1.0,0.6603854908453776,31.990394877267875,200.0,1.0,34.48315533212206,576,1033,265
Batanes,389,223,42,7,3.116709511568123,5.6,1.4,0.6936036706916463,31.213367609254497,219.0,1.0,31.70520179476033,58,301,30
Cagayan,1472,345,57,11,2.549932065217391,6.3,1.3,0.6940457618305659,17.25,224.0,1.0,16.992020360991052,529,917,26
Ilocos Norte,1321,252,44,8,2.424602573807721,5.7,1.1,0.6952165655343452,17.09765329295988,80.0,1.0,13.792905585437538,484,830,7
Davao Occidental,2475,1259,222,18,3.0104646464646465,6.8,1.3,0.6887885413326842,71.82020202020202,472.0,1.0,56.11225968632428,258,1136,1081
Bataan,190,14,1,0,2.0336842105263155,4.4,1.3,0.5233410223509135,77.2578947368421,210.0,1.0,43.873818780457164,4,79,107
Zambales,881,120,18,2,2.234960272417707,5.1,1.1,0.6515045730055917,26.71850170261067,141.0,1.0,16.826932835833297,98,757,26
Isabela,748,150,16,3,2.4594919786096257,5.5,1.2,0.6596037581306846,24.77139037433155,158.0,1.0,15.993050187164766,87,647,14
Batangas,2147,147,21,5,2.0181648812296227,6.3,1.2,0.5546430174526383,87.5910572892408,229.0,1.0,42.95804618151803,162,405,1580
Pangasinan,490,74,5,0,2.336530612244898,4.5,1.2,0.5878735414159799,27.33469387755102,154.0,1.0,24.89138410097628,69,393,28
Surigao Del Norte,3368,569,89,7,2.3210807600950116,6.0,1.2,0.6800092737782985,23.60540380047506,238.0,1.0,17.194761132685365,565,2734,69
Ilocos Sur,807,207,27,1,2.541016109045849,5.0,1.2,0.6631681674738304,20.359355638166047,112.0,1.0,16.92531349207826,205,577,25
Abra,825,91,9,0,2.2324848484848485,4.9,1.0,0.575584766032845,14.001212121212122,195.0,1.0,13.77466890285745,408,413,4
Romblon,144,29,1,0,2.4256944444444444,4.8,1.2,0.6395744354103425,14.256944444444445,201.0,1.0,20.593890915653677,80,63,1
Eastern Samar,1394,435,86,10,2.683859397417504,5.6,1.4,0.7132561032353724,18.83428981348637,128.0,1.0,15.570803041462096,421,948,25
Ifugao,134,9,0,0,1.9880597014925376,3.8,1.3,0.5112339158444836,24.08955223880597,192.0,1.0,18.537287229881162,27,106,1
Dinagat Islands,290,39,10,3,2.282068965517241,5.3,1.3,0.6718428887765489,46.02413793103448,214.0,1.0,44.68748967757455,24,201,65
Cebu,3051,340,54,6,2.207177974434612,6.9,1.0,0.6289238277419616,15.492297607341856,85.0,1.0,12.09899831911002,1439,1608,4
South Cotabato,149,20,4,1,2.283892617449664,5.0,1.3,0.6607803652453501,23.677852348993287,362.0,1.0,35.95103059387638,51,94,4
Southern Leyte,717,102,12,2,2.3129707112970714,5.8,1.2,0.5887556383211462,17.709902370990235,209.0,1.0,24.861225438375275,315,387,15
Cotabato,178,17,2,0,2.2589887640449438,4.4,1.4,0.562433262720372,22.0,418.0,1.0,50.83183752545927,79,95,4
Davao Del Sur,220,34,3,1,2.415909090909091,5.0,1.5,0.5617744155627817,16.9,233.0,1.0,21.288816280623422,95,121,4
Agusan Del Sur,894,91,13,2,2.2082774049217004,5.3,1.1,0.5692166157616128,23.514541387024607,175.0,1.0,19.004900380671515,226,652,16
Zamboanga Del Norte,596,80,16,1,2.2395973154362414,5.4,1.2,0.6590615984214142,21.947986577181208,103.0,1.0,13.315902389380788,117,474,5
Sultan Kudarat,354,92,26,5,2.5638418079096046,7.1,1.2,0.8225869080913545,64.57909604519774,686.0,1.0,153.79940105784803,117,203,34
Iloilo,152,15,4,0,2.298026315789474,4.2,1.3,0.5904841873088841,20.80921052631579,80.0,1.0,14.885760809219407,44,106,2
Kalinga,79,10,1,0,2.263291139240506,4.0,1.2,0.5909959467061043,23.79746835443038,127.0,1.0,19.339994263804364,17,60,2
Maguindanao Del Norte,198,29,7,0,2.3303030303030305,4.9,1.3,0.6483801832422298,22.555555555555557,604.0,1.0,59.173190222095926,86,110,2
La Union,277,55,6,3,2.3956678700361014,5.5,1.2,0.6685881768021159,24.227436823104693,109.0,1.0,19.921100847745095,51,208,18
Apayao,175,17,1,0,2.1188571428571428,4.4,1.3,0.5325484783316905,24.08,119.0,1.0,22.809919197426005,44,120,11
Negros Oriental,597,104,15,0,2.44606365159129,4.8,1.0,0.5875144573135331,15.110552763819095,132.0,1.0,13.686488678435614,286,308,3
Zamboanga Del Sur,249,26,7,0,2.1867469879518073,4.9,1.2,0.6209587574619698,19.943775100401606,122.0,1.0,13.268506985589433,68,180,1
Leyte,740,110,13,2,2.3802702702702705,5.8,1.2,0.6244369002683188,11.70135135135135,188.0,1.0,18.66661426243465,503,229,8
Quezon,686,102,15,1,2.292419825072886,5.3,1.2,0.646654030505058,12.36734693877551,101.0,1.0,12.554780900594782,386,298,2
Pampanga,33,2,0,0,2.1666666666666665,3.3,1.5,0.4580302027887098,55.54545454545455,175.0,1.0,54.042281426843765,4,19,10
Negros Occidental,759,115,15,2,2.3885375494071144,5.1,1.0,0.5913517861085974,16.96969696969697,121.0,1.0,13.82191212015877,253,496,10
Palawan,101,21,3,1,2.4732673267326737,5.1,1.5,0.632280173516284,24.128712871287128,80.0,1.0,14.429596921838554,18,82,1
Bohol,365,28,4,0,2.0961643835616437,4.2,1.2,0.5376348032772965,20.389041095890413,587.0,1.0,42.66901609502541,143,219,3
Northern Samar,637,139,16,2,2.4896389324960757,5.7,1.2,0.6713494541228584,25.03453689167975,122.0,1.0,19.113087821761383,101,513,23
Quirino,26,1,0,0,1.8884615384615384,3.3,1.4,0.47017181802138935,22.153846153846153,48.0,1.0,12.285576283405863,4,22,0
Marinduque,80,6,0,0,2.1775,3.8,1.2,0.5093990005606135,11.8125,41.0,1.0,10.441026369355152,50,30,0
Antique,240,60,13,0,2.5949999999999998,4.7,1.3,0.6796935071032578,14.908333333333333,67.0,1.0,11.986041975211009,102,138,0
Misamis Oriental,65,19,2,0,2.573846153846154,4.7,1.4,0.6924316128409639,16.215384615384615,168.0,1.0,21.53593821070688,27,37,1
Mountain Province,93,2,0,0,1.9483870967741934,3.7,1.2,0.4822079885065397,28.50537634408602,131.0,1.0,17.938072006279764,12,79,2
Lanao Del Sur,301,27,6,0,2.200664451827243,4.9,1.1,0.6000551838779346,11.877076411960132,54.0,1.0,12.159831663752934,198,103,0
Davao Del Norte,191,26,3,0,2.3973821989528794,4.9,1.3,0.5656328132905027,24.397905759162303,111.0,1.0,17.42952110981216,36,151,4
Aurora,593,69,11,0,2.1986509274873525,4.4,1.2,0.571299669231632,15.436762225969646,97.0,1.0,10.573574162987288,201,390,2
Benguet,137,11,1,0,2.0905109489051092,4.5,1.2,0.5236864817132862,19.62043795620438,118.0,1.0,17.230757121590873,44,90,3
Oriental Mindoro,425,33,9,1,2.1308235294117646,5.1,1.0,0.6286895095713472,18.59294117647059,169.0,1.0,16.38860185647973,174,248,3
Camarines Sur,509,72,11,0,2.1923379174852653,4.5,1.2,0.6580215483006145,14.129666011787819,81.0,1.0,15.674559484901405,297,210,2
Bukidnon,225,24,4,0,2.2773333333333325,4.2,1.3,0.5535373261385103,14.11111111111111,95.0,1.0,13.055893274929494,110,114,1
Nueva Ecija,123,9,0,0,1.9878048780487805,3.5,1.2,0.4729720065631824,23.365853658536587,166.0,1.0,18.985442349113793,22,99,2
Masbate,1000,202,35,4,2.4359,6.0,1.2,0.6924887946607734,9.494,123.0,1.0,9.908892478483665,693,303,4
Misamis Occidental,17,2,1,0,2.258823529411765,4.2,1.5,0.623557158095202,11.470588235294118,33.0,1.0,9.500773962280807,11,6,0
Agusan Del Norte,327,53,9,3,2.377064220183486,5.8,1.3,0.6720949338877623,18.94495412844037,108.0,1.0,13.460805313048825,93,232,2
Davao De Oro,1077,104,19,6,2.2277623026926645,6.0,1.2,0.6165619292434964,19.937790157845868,140.0,0.0,16.36505116316554,417,653,7
Catanduanes,274,77,22,3,2.6540145985401455,6.2,1.3,0.8054316157801295,22.806569343065693,119.0,1.0,18.531504525600543,77,189,8
Lanao Del Norte,35,2,0,0,2.125714285714286,3.7,1.4,0.4889020454897214,33.57142857142857,615.0,1.0,101.73011750078092,12,22,1
Biliran,151,24,6,0,2.4543046357615896,4.6,1.4,0.6117445108690117,9.609271523178808,35.0,1.0,8.281685424222756,100,51,0
Laguna,37,1,0,0,1.8135135135135134,3.5,1.1,0.5328967807924712,21.324324324324323,43.0,1.0,13.751876748797384,14,23,0
Aklan,25,4,1,0,2.344,4.0,1.4,0.7159376136694221,14.16,40.0,1.0,11.545850625513335,10,15,0
Nueva Vizcaya,145,16,0,0,2.2151724137931033,3.7,1.3,0.534806693332943,17.613793103448277,41.0,1.0,12.186733569574148,51,94,0
Tarlac,107,12,2,1,2.1074766355140184,5.7,1.2,0.7131779706673343,55.22429906542056,191.0,5.0,54.56626720962994,6,74,27
Camiguin,14,0,0,0,2.107142857142857,2.8,1.7,0.3791981128529107,18.642857142857142,45.0,2.0,12.194621404897784,4,10,0
Siquijor,24,3,0,0,2.283333333333333,3.8,1.4,0.5880451525599674,40.5,550.0,7.0,108.85051576638806,4,19,1
Sulu,15,8,2,0,3.0666666666666673,4.4,2.1,0.6399404734221846,64.06666666666666,224.0,9.0,63.33523806659592,1,10,4
Albay,194,23,5,0,2.277319587628866,4.8,1.3,0.6597228425185546,21.391752577319586,107.0,1.0,19.95645866651729,77,111,6
Basilan,18,1,0,0,2.216666666666667,3.2,1.5,0.5272012675161054,36.166666666666664,72.0,19.0,12.839507045695742,0,17,1
Sorsogon,191,49,11,0,2.4486910994764397,4.7,1.1,0.7442310506219405,29.20418848167539,198.0,1.0,32.74390555180216,62,103,26
Samar,179,18,4,1,2.18268156424581,5.2,1.2,0.6311943060275372,35.597765363128495,233.0,1.0,33.4982004468985,19,141,19
Guimaras,61,2,0,0,2.0737704918032787,3.7,1.2,0.4508886186721588,22.65573770491803,88.0,1.0,19.3294983948555,18,41,2
Rizal,10,1,0,0,2.2600000000000007,3.9,1.1,0.8126773310757747,14.3,32.0,4.0,9.54579604968712,4,6,0
Capiz,9,0,0,0,2.488888888888889,2.9,1.8,0.348010216963685,22.444444444444443,48.0,8.0,12.80733296895875,3,6,0
Bulacan,20,3,0,0,2.0149999999999997,3.3,1.1,0.6945464252604755,19.9,40.0,5.0,10.89132924080339,5,15,0
Maguindanao Del Sur,44,1,0,0,2.0954545454545452,3.8,1.4,0.4600073535582834,20.886363636363637,139.0,1.0,22.00868317974871,13,30,1
Cavite,5,0,0,0,1.7,2.0,1.5,0.21213203435596426,29.6,108.0,1.0,45.97064280603438,3,1,1
Maguindanao,2,0,0,0,1.55,1.6,1.5,0.07071067811865482,30.0,32.0,28.0,2.8284271247461903,0,2,0
Surigao del Sur,1,0,0,0,2.8,2.8,2.8,,19.0,19.0,19.0,,0,1,0
Agusan del Sur,1,0,0,0,2.0,2.0,2.0,,31.0,31.0,31.0,,0,1,0
