date_time,latitude,longitude,depth,magnitude,location
31 January 2018 - 11:07 PM,13.20,125.48,025,2.8,082m N 29° E of Palapag (Northern Samar)
31 January 2018 - 10:32 PM,11.68,124.26,007,3.7,011km S 87° W of Kawayan (Biliran)
31 January 2018 - 08:23 PM,13.05,120.56,034,3.5,018km S 83° W of Santa Cruz (Occidental Mindoro)
31 January 2018 - 06:42 PM,14.11,120.43,122,1.9,021km N 82° W of Nasugbu (Batangas)
31 January 2018 - 12:28 AM,18.71,120.87,022,3.3,017km N 29° E of Pagudpud (Ilocos Norte)
30 January 2018 - 11:54 PM,18.64,120.73,016,2.1,009km N 43° W of Pagudpud (Ilocos Norte)
30 January 2018 - 10:46 PM,09.89,125.36,005,3.3,015km N 28° W of San Francisco (Anao-aon) (Surigao Del Norte)
30 January 2018 - 10:11 PM,19.28,121.08,015,4.9,040km S 89° W of Calayan (Cagayan)
30 January 2018 - 09:40 PM,18.36,120.52,008,3.1,011km N 76° W of Pasuquin (Ilocos Norte)
30 January 2018 - 07:55 PM,17.05,120.79,020,2.6,019km N 41° E of Cervantes (Ilocos Sur)
30 January 2018 - 06:34 PM,13.41,120.32,011,2.3,016km S 87° W of Paluan (Occidental Mindoro)
30 January 2018 - 04:53 PM,10.86,123.44,064,2.1,042km N 03° E of San Carlos City (Negros Occidental)
30 January 2018 - 04:48 PM,06.32,127.18,031,2.6,114km S 45° E of Tarragona (Davao Oriental)
30 January 2018 - 04:03 PM,19.29,121.25,002,3.1,022km N 89° W of Calayan (Cagayan)
30 January 2018 - 02:10 PM,08.51,126.00,020,2.1,025km N 74° E of Talacogon (Agusan Del Sur)
30 January 2018 - 12:56 PM,12.93,125.79,033,2.4,077km N 49° E of Mapanas (Northern Samar)
30 January 2018 - 06:29 AM,17.56,120.10,016,3.0,027km S 84° W of Santa Catalina (Ilocos Sur)
30 January 2018 - 06:25 AM,09.24,123.14,001,3.4,015km N 69° W of Dauin (Negros Oriental)
30 January 2018 - 05:11 AM,12.39,123.72,001,3.5,011km N 76° E of Masbate (Masbate)
30 January 2018 - 02:41 AM,09.23,123.16,001,2.0,013km N 72° W of Dauin (Negros Oriental)
29 January 2018 - 08:46 PM,13.65,120.92,001,3.1,006km S 75° E of Tingloy (Batangas)
29 January 2018 - 07:37 PM,08.75,126.60,053,1.8,034km S 81° E of Marihatag (Surigao del Sur)
29 January 2018 - 07:36 PM,15.50,119.86,049,2.6,008km N 35° W of Palauig (Zambales)
29 January 2018 - 07:19 PM,15.52,121.33,010,2.0,015km N 25° W of Dingalan (Aurora)
29 January 2018 - 06:41 PM,11.08,124.53,001,2.1,012km N 45° W of Ormoc City (Leyte)
29 January 2018 - 04:40 PM,12.25,120.81,031,2.0,030km S 67° W of San Jose (Occidental Mindoro)
29 January 2018 - 01:38 PM,08.85,121.81,065,3.3,108km S 44° W of Hinoba-an (Negros Occidental)
29 January 2018 - 12:00 PM,09.74,123.99,021,2.0,003km S 55° E of Balilihan (Bohol)
29 January 2018 - 09:23 AM,05.92,125.62,178,2.7,004km N 02° E of Jose Abad Santos (Davao Occidental)
29 January 2018 - 07:22 AM,13.96,120.46,156,2.4,022km S 54° W of Nasugbu (Batangas)
29 January 2018 - 06:42 AM,11.25,124.62,007,2.2,005km S 26° W of Capoocan (Leyte)
29 January 2018 - 05:52 AM,13.36,120.26,010,2.0,024km S 76° W of Paluan (Occidental Mindoro)
29 January 2018 - 04:27 AM,16.14,119.39,008,3.2,044km N 86° W of Agno(Pangasinan)
29 January 2018 - 04:23 AM,13.78,120.45,110,2.1,020km S 73° W of Calatagan (Batangas)
29 January 2018 - 02:12 AM,13.41,120.02,019,2.2,043km S35° W of Looc(Occidental Mindoro)
29 January 2018 - 12:43 AM,16.81,120.24,014,2.4,015km N 49° W of Bacnotan(La Union)
28 January 2018 - 10:51 PM,13.30,120.22,020,3.9,030km S 65° W of Paluan(Occidental Mindoro)
28 January 2018 - 06:22 PM,10.79,121.66,027,2.9,031km N 80° W of San Jose (Antique)
28 January 2018 - 04:37 PM,13.40,120.56,055,2.9,010km S 80° E of Paluan (Occidental Mindoro)
28 January 2018 - 03:01 PM,10.41,121.92,001,2.8,002km S 25° W of Anini-y (Antique)
28 January 2018 - 01:56 PM,18.04,121.38,023,2.0,020km S 10° W of Flora (Apayao)
28 January 2018 - 12:05 PM,08.83,126.60,024,2.8,033km N 85° E of Marihatag (Surigao Del Sur)
28 January 2018 - 11:18 AM,08.07,121.96,024,2.9,035km N 63° W of Gutalac (Zamboanga Del Norte)
28 January 2018 - 11:10 AM,10.26,126.14,033,2.7,027km N 16° E of Burgos (Surigao Del Norte)
28 January 2018 - 10:30 AM,08.78,126.58,028,3.8,031km S 86° E of Marihatag (Surigao Del Sur)
28 January 2018 - 10:18 AM,08.78,126.55,018,4.9,028km S 85° E of Marihatag (Surigao Del Sur)
28 January 2018 - 10:16 AM,08.81,126.61,023,2.0,034km N 88° E of Marihatag (Surigao Del Sur)
28 January 2018 - 09:19 AM,13.71,120.58,127,3.0,014km S 23° W of Calatagan (Batangas)
28 January 2018 - 09:13 AM,10.01,121.63,016,2.4,057km S 35° W of Anini-y (Antique)
28 January 2018 - 03:23 AM,05.71,126.95,094,2.6,142km S 43° E of Governor Generoso (Davao Oriental)
27 January 2018 - 11:27 PM,14.80,123.34,028,2.0,083km N 46° E of Paracale (Camarines Norte)
27 January 2018 - 10:45 PM,16.67,121.06,001,2.9,008km S 24° E of Asipolo (Amduntog) (Ifugao)
27 January 2018 - 09:22 AM,10.94,124.58,002,2.8,008km S 22° W of Ormoc City (Leyte)
27 January 2018 - 08:30 AM,05.92,127.05,066,2.4,112km S 55° E of Governor Generoso (Davao Oriental)
27 January 2018 - 06:21 AM,09.23,123.20,005,4.7,009km N 59° W of Dauin (Negros Oriental)
27 January 2018 - 05:48 AM,09.30,123.14,023,3.2,014km N 86° W of Luzurriaga (Valencia) (Negros Oriental)
27 January 2018 - 05:45 AM,09.25,123.25,030,2.7,004km S 27° W of Luzurriaga (Valencia) (Negros Oriental)
27 January 2018 - 05:37 AM,08.28,127.38,021,4.1,110km N 76° W of Lingig (Surigao Del Sur)
27 January 2018 - 05:24 AM,09.27,123.20,002,3.3,008km S 80° W of Luzurriaga (Valencia) (Negros Oriental)
27 January 2018 - 05:10 AM,09.22,123.08,001,2.1,022km S 71° W of Luzurriaga (Valencia) (Negros Oriental)
27 January 2018 - 04:14 AM,05.78,125.85,102,2.7,029km S67° E of Jose Abad Santos (Davao Occidental)
27 January 2018 - 04:08 AM,14.13,121.24,011,3.3,006km S13° E of Los Baños (Laguna)
27 January 2018 - 02:53 AM,13.57,120.58,077,2.3,021km N 50° W of Abra de Ilog (Occidental Mindoro)
26 January 2018 - 11:05 PM,06.69,126.51,026,2.5,041km S10° E of Tarragona (Davao Oriental)
26 January 2018 - 10:40 PM,13.27,123.65,035,1.6,010km N 04° W of Camalig (Albay)
26 January 2018 - 07:50 PM,13.85,123.94,013,1.4,011km N 00° of Caramoan (CamarinesSur)
26 January 2018 - 07:47 PM,17.35,120.28,023,3.0,024km S 27°W of Caoayan (Ilocos Sur)
26 January 2018 - 05:47 PM,04.91,127.76,118,3.2,260km S 77°E of Sarangani (Davao Occidental)
26 January 2018 - 05:28 PM,10.51,124.61,033,2.0,015km N 84°W of Inopacan (Leyte)
26 January 2018 - 04:32 PM,10.23,124.86,001,2.4,011km N 13° E of Maasin (Southern Leyte)
26 January 2018 - 03:57 PM,10.26,124.91,001,2.7,016km N 29° E of Maasin (Southern Leyte)
26 January 2018 - 02:24 PM,05.54,125.94,053,2.6,052km S 44° E of Jose Abad Santos (Davao Occidental)
26 January 2018 - 02:16 PM,12.21,125.07,027,2.3,016km S 14° E of Las Navas (Eastern Samar)
26 January 2018 - 01:55 PM,14.19,124.69,004,2.7,084km N 36° E of Virac(Catanduanes)
26 January 2018 - 04:24 AM,12.47,125.94,020,2.6,057km N 55° E of San Policarpo (Eastern Samar)
26 January 2018 - 04:20 AM,10.00,122.85,003,1.7,010km S 72° E of Ilog (Negros Occidental)
26 January 2018 - 04:04 AM,07.24,126.71,029,3.8,019km N 81° E of Manay (Davao Oriental)
26 January 2018 - 03:26 AM,13.67,120.39,027,2.0,016km S 68° E of Looc(Occidental Mindoro)
26 January 2018 - 02:40 AM,06.42,125.83,147,2.1,024km N 88° E of Malita (Davao Occidental)
26 January 2018 - 02:08 AM,08.24,123.44,017,2.7,013km N 02° E of Mahayag (Zamboanga del Sur)
25 January 2018 - 11:33 PM,05.65,126.72,094,3.0,125km S 78° E of Jose Abad Santos(Davao Occidental)
25 January 2018 - 04:03 PM,05.39,126.05,057,4.1,064km S 85° E of Sarangani(Davao Occidental)
25 January 2018 - 01:11 PM,19.15,121.96,102,3.9,054km S 74° E of Calayan(Cagayan)
25 January 2018 - 12:00 PM,08.35,123.19,029,2.3,013km N 49° E of Siayan(Zamboanga Del Norte)
25 January 2018 - 09:39 AM,10.21,122.24,011,2.3,042km S 54° E of Anini-y (Antique)
25 January 2018 - 08:37 AM,13.80,120.58,074,2.1,007km S 58° W of Calatagan(Batangas)
25 January 2018 - 07:17 AM,10.26,122.22,007,2.9,037km S 60° E of Anini-y (Antique)
25 January 2018 - 06:19 AM,10.51,125.45,117,2.2,022km N 40° W of Loreto (Dinagat)
25 January 2018 - 03:27 AM,15.35,122.02,001,2.0,052km N 28° E of Panukulan (Quezon)
25 January 2018 - 12:07 AM,07.12,126.03,033,2.3,015km S 74° E of Pantukan (Compostela Valley)
24 January 2018 - 11:53 PM,07.14,125.98,027,3.7,010km S 80° E of Pantukan (Compostela Valley)
24 January 2018 - 11:28 PM,11.00,124.78,003,1.8,018km N 88° E of Ormoc City (Leyte)
24 January 2018 - 11:22 PM,13.47,120.12,027,2.0,031km S 27° W of Looc (Occidental Mindoro)
24 January 2018 - 08:34 PM,12.81,124.69,017,2.8,038km N 43° W of PambuJanuary (Northern Samar)
24 January 2018 - 10:57 AM,06.54,126.76,017,3.3,067km S 32° E of Tarragona (Davao Oriental)
24 January 2018 - 10:15 AM,10.44,121.79,018,2.5,015km N 88° W of Anini-y (Antique)
24 January 2018 - 03:55 AM,11.65,124.39,021,2.4,003km N 21° E of Almeria (Biliran)
24 January 2018 - 03:55 AM,15.93,120.70,024,2.0,009km N 61° E of Rosales (Pangasinan)
24 January 2018 - 03:42 AM,17.57,119.64,034,3.3,076km S 89° W of Santa Catalina (Ilocos Sur)
23 January 2018 - 10:02 PM,11.53,126.00,018,2.9,047km N 61° E of Hernani (Eastern Samar)
23 January 2018 - 09:09 PM,11.53,126.03,017,3.6,051km N 63° E of Hernani (Eastern Samar)
23 January 2018 - 08:40 PM,15.59,122.53,006,2.0,087km S 45° E of Dinalungan (Aurora)
23 January 2018 - 08:32 PM,09.25,126.04,116,2.5,002km N 47° W of Lanuza (Surigao Del Sur)
23 January 2018 - 08:15 PM,15.57,122.47,013,2.5,084km S 41° E of Dinalungan (Aurora)
23 January 2018 - 06:28 PM,06.20,124.18,001,2.8,003km S 51° W of Palimbang (Sultan Kudarat)
23 January 2018 - 05:56 PM,18.68,120.87,013,3.0,0214km N 71°W of Claveria (Cagayan)
23 January 2018 - 05:31 PM,13.67,120.16,001,2.5,011km S 61° W of Looc (Occidental Mindoro)
23 January 2018 - 04:33 PM,17.39,121.79,025,2.2,002km S 26° E of Santo Tomas (Isabela)
23 January 2018 - 04:18 PM,09.59,125.36,026,2.4,006km S 54° W of Malimono (Surigao del Norte)
23 January 2018 - 03:06 PM,09.58,123.97,029,2.2,004km S 21° E of Alburquerque (Bohol)
23 January 2018 - 01:35 PM,08.70,126.24,027,2.0,013km S 29° W of Marihatag (Surigao del Sur)
23 January 2018 - 01:04 PM,05.95,126.00,153,3.3,043km N 81° E of Jose Abad Santos (Davao Occidental)
23 January 2018 - 11:45 AM,14.61,119.83,015,2.9,048km S 80° W of Morong (Bataan)
23 January 2018 - 11:33 AM,09.64,121.70,022,2.7,079km S 80° W of Sipalay (Negros Occidental)
23 January 2018 - 09:33 AM,08.31,123.35,031,2.4,007km N 75° E of Sergio Osmeña Sr. (Zamboanga Del Norte)
23 January 2018 - 07:20 AM,08.22,126.79,022,2.3,046km N 64° E of Lingig(Surigao Del Sur)
23 January 2018 - 06:22 AM,11.33,124.55,001,2.1,008km S 57° E of Leyte(Leyte)
23 January 2018 - 01:46 AM,16.62,120.31,024,2.0,001km N 63° W of San Fernando (Capital)(La Union)
23 January 2018 - 01:29 AM,09.45,126.20,028,2.8,019km N 04° E of Cortes(Surigao Del Sur)
23 January 2018 - 01:21 AM,08.89,126.59,041,3.8,032km S 85° E of Cagwait(Surigao Del Sur)
22 January 2018 - 08:19 PM,13.54,121.07,006,2.2,013km N 71° E of Puerto Galera(Oriental Mindoro)
22 January 2018 - 08:17 PM,09.75,123.70,004,2.6,012km S 62° W of Loon(Bohol)
22 January 2018 - 06:32 PM,14.59,122.07,030,2.0,020km S 45° E of Polillo(Quezon)
22 January 2018 - 05:40 PM,13.73,120.36,028,1.6,029km S 62° W of Lubang(Occidental Mindoro)
22 January 2018 - 05:03 PM,04.94,124.50,064,2.4,116km S 29° W of Maasim(Sarangani)
22 January 2018 - 04:25 PM,11.97,125.81,032,3.5,036km S 79° E of Dolores(Eastern Samar)
22 January 2018 - 02:53 PM,15.77,120.11,021,2.2,020km S 46° W of Aguilar (Pangasinan)
22 January 2018 - 02:00 PM,14.29,120.26,096,2.3,029km S 55° W of Mariveles (Bataan)
22 January 2018 - 12:05 PM,11.02,124.71,007,3.5,011km N 84° E of OrmocCity (Leyte)
22 January 2018 - 07:02 AM,10.41,121.88,006,2.9,006km S 72° W of Anini-y (Antique)
22 January 2018 - 04:07 AM,11.73,125.96,015,2.9,056km S 87° E of San Julian(Eastern Samar)
22 January 2018 - 03:56 AM,08.32,124.81,007,3.7,007km S 73° E of Libona (Bukidnon)
22 January 2018 - 03:25 AM,11.21,124.95,009,2.6,016km S 55° E of San Miguel (Leyte)
22 January 2018 - 03:16 AM,08.29,124.83,005,2.2,010km S 59° E of Libona (Bukidnon)
22 January 2018 - 03:11 AM,08.24,124.80,002,2.8,013km S 30° E of Libona (Bukidnon)
22 January 2018 - 02:54 AM,08.33,124.81,008,2.9,008km S 82° E of Libona (Bukidnon)
21 January 2018 - 09:37 PM,10.79,122.10,017,2.6,032km S 36° E of Anini-y (Antique)
21 January 2018 - 04:41 PM,12.57,123.51,003,2.8,010km N 08° E of Baleno (Masbate)
21 January 2018 - 02:52 PM,05.60,126.56,078,3.4,109km S 73° E of Jose Abad Santos (Davao Occidental)
21 January 2018 - 03:56 AM,17.19,119.91,015,4.8,057km S 90° W of Candon City (Ilocos Sur)
21 January 2018 - 02:56 AM,11.94,125.17,061,2.9,025km N 47° E of Motiong (Samar)
21 January 2018 - 01:38 AM,10.47,121.77,022,3.8,017km N 74° W of Anini-y (Antique)
21 January 2018 - 01:05 AM,11.69,124.27,002,3.4,010km N 86° W of Kawayan (Biliran)
20 January 2018 - 11:04 PM,08.79,126.36,001,2.8,007km S 76° E of Marihatag (Surigao Del Sur)
20 January 2018 - 10:48 PM,15.98,121.39,030,2.1,022km N 24° W of Maria Aurora (Aurora)
20 January 2018 - 10:15 PM,11.26,124.65,006,2.2,004km S 12° E of Capoocan (Leyte)
20 January 2018 - 09:38 PM,05.93,126.52,065,3.1,094km S 32° E of Governor Generoso (Davao Oriental)
20 January 2018 - 08:49 PM,08.42,124.92,009,2.2,013km N 15° W of Sumilao(Bukidnon)
20 January 2018 - 07:48 PM,09.09,126.07,008,2.9,017km S 20° E of Carmen(Surigao Del Sur)
20 January 2018 - 05:40 PM,16.01,120.03,026,2.0,009km S 46° W of Sual (Pangasinan)
20 January 2018 - 05:24 PM,05.78,126.54,001,3.7,103km S 84° E of Jose Abad Santos (Davao Occidental)
20 January 2018 - 10:25 AM,11.20,124.58,001,2.1,003km N 59° E of Kananga (Leyte)
20 January 2018 - 09:22 AM,06.54,126.00,029,2.7,017km S 35° W of Governor Generoso (Davao Oriental)
20 January 2018 - 08:23 AM,05.72,126.58,061,3.3,117km S 29° E of Governor Generoso (Davao Oriental)
20 January 2018 - 07:48 AM,13.37,120.32,014,2.0,017km S 74° W of Paluan (Occidental Mindoro)
20 January 2018 - 03:11 AM,09.74,126.80,004,3.7,071km S 87° E of General Luna (Surigao del Norte)
20 January 2018 - 12:18 AM,09.47,125.52,033,2.5,006km N 71° W of Kitcharao (Agusan del Norte)
19 January 2018 - 09:44 PM,13.42,119.88,033,1.8,052km S 50° W of Looc (Occidental Mindoro)
19 January 2018 - 08:02 PM,09.65,122.14,010,2.5,032km S 67° W of Sipalay (Negros Occidental)
19 January 2018 - 08:00 PM,17.10,121.33,021,2.1,005km N 89° E of Natonin (Mountain Province)
19 January 2018 - 03:13 PM,13.66,120.52,071,2.0,023km S 33° W of Calatagan (Batangas)
19 January 2018 - 02:26 PM,07.96,127.50,020,4.3,113km N 68° E of Baganga (Davao Oriental)
19 January 2018 - 09:20 AM,09.05,126.46,029,2.4,021km N 67° E of Bayabas (Surigao Del Sur)
19 January 2018 - 05:06 AM,09.49,126.02,004,2.7,015km N 32° E of Carrascal (Surigao Del Sur)
19 January 2018 - 12:07 AM,10.00,124.15,001,2.6,010km N 56° W of Danao (Bohol)
18 January 2018 - 11:58 PM,09.98,124.14,1,2.5,009km N 67° W of Danao (Bohol)
18 January 2018 - 11:09 PM,15.00,120.00,016,2.5,009km S 78° W of San Narciso (Zambales)
18 January 2018 - 11:02 PM,11.08,124.83,002,2.5,009km N 80° E of Dagami (Leyte)
18 January 2018 - 10:11 PM,13.05,124.67,032,2.1,052km S 89° E of Prieto Diaz (Sorsogon)
18 January 2018 - 08:11 PM,03.93,126.67,061,3.8,213km S 38° E of Sarangani (Davao Occidental)
18 January 2018 - 02:32 PM,11.68,124.31,011,2.7,005km S 82° W of Kawayan (Biliran)
18 January 2018 - 01:39 PM,13.48,119.90,027,2.9,062km N 83° W of Paluan (Occidental Mindoro)
18 January 2018 - 10:50 AM,09.32,125.61,010,3.2,009km N 46° E of Santiago (Agusan Del Norte)
18 January 2018 - 10:09 AM,08.87,126.50,032,2.1,022km S 75° E of Cagwait (Surigao del Sur)
18 January 2018 - 09:41 AM,02.66,121.16,033,3.8,295km S 15° E of South Ubian (Tawi-tawi)
18 January 2018 - 09:06 AM,15.04,121.17,023,2.3,011km N 44° E of Doña Remedios Trinidad (Bulacan)
18 January 2018 - 06:11 AM,13.28,120.44,046,2.5,016km S 12° W of Paluan (Occidental Mindoro)
18 January 2018 - 05:49 AM,14.04,120.46,185,3.5,018km S 74° W of Nasugbu (Batangas)
18 January 2018 - 12:41 AM,07.05,123.74,034,2.3,047km N 85° W of Upi (Maguindanao)
18 January 2018 - 12:05 AM,05.62,124.98,034,3.4,027km S 07° W of Maasim (Sarangani)
17 January 2018 - 11:38 PM,19.26,121.12,021,3.7,036km N 87° W of Calayan (Cagayan)
17 January 2018 - 10:56 PM,18.02,120.52,033,3.2,005km S 86° E of Currimao (Ilocos Norte)
17 January 2018 - 10:13 PM,04.35,125.71,014,3.2,123km S 12° E of Sarangani (Davao Occidental)
17 January 2018 - 10:02 PM,13.19,120.98,033,2.0,023km S 33° W of Baco (Occidental Mindoro)
17 January 2018 - 07:04 PM,10.24,125.96,011,2.8,028km N 26° W of Burgos (Surigao Del Norte)
17 January 2018 - 06:51 PM,05.08,126.45,001,2.8,116km S 70° E of Sarangani (Davao Occidental)
17 January 2018 - 03:32 PM,17.46,120.31,006,3.3,015km S 32° W of Vigan City (Ilocos Sur)
17 January 2018 - 03:20 PM,06.56,126.73,172,2.6,058km S 30° E of Tarragona (Davao Oriental)
17 January 2018 - 01:32 PM,13.62,124.46,08,1.8,014km S 74° E of Baras (Catanduanes)
17 January 2018 - 12:29 PM,11.66,124.35,023,2.2,003km S 22° W of Kawayan (Biliran)
17 January 2018 - 11:23 AM,11.71,124.26,010,2.4,011km N 75° W of Kawayan (Biliran)
17 January 2018 - 10:02 AM,05.20,126.35,009,2.9,100km S 75° E of Sarangani (Davao Occidental)
17 January 2018 - 08:58 AM,10.05,126.09,010,2.9,004km N 24° E of Burgos(Surigao Del Norte)
17 January 2018 - 04:19 AM,11.64,124.32,015,2.8,007km N 79° W of Almeria(Biliran)
17 January 2018 - 02:10 AM,19.92,121.19,001,2.4,085km S 57° W of Sabtang(Batanes)
17 January 2018 - 12:51 AM,11.72,124.12,001,4.4,026km N 80° W of Kawayan(Biliran)
17 January 2018 - 12:37 AM,13.30,123.57,021,3.3,025km N 45° W of LegazpiCity
17 January 2018 - 12:01 AM,13.30,123.58,023,2.2,024km N 42° W of LegazpiCity
16 January 2018 - 11:38 PM,11.66,124.27,007,3.5,010km S 77° W of Kawayan(Biliran)
16 January 2018 - 10:53 PM,11.76,124.32,001,2.5,009km N 24° W of Kawayan(Biliran)
16 January 2018 - 09:43 PM,12.20,126.51,033,3.1,109km N 89° E of San Policarpio(Eastern Samar)
16 January 2018 - 07:27 PM,13.18,122.42,020,2.5,021km S 29° W of San Francisco(Aurora) (Quezon)
16 January 2018 - 06:39 PM,06.05,125.98,121,2.7,036km S 63° E of Don Marcelino(Davao Occidental)
16 January 2018 - 04:20 PM,13.23,124.09,033,2.3,006km N 47° W of Rapu-rapu (Albay)
16 January 2018 - 03:04 PM,11.67,124.26,004,4.0,010km S 84° W of Kawayan (Biliran)
16 January 2018 - 09:04 AM,11.30,124.57,001,2.6,007km N 88° W of Capoocan (Leyte)
16 January 2018 - 08:32 AM,11.64,124.25,007,2.8,012km S 69° W of Kawayan (Biliran)
16 January 2018 - 06:22 AM,08.62,125.96,005,2.6,007km N 48° E of Prosperidad (Agusan Del Sur)
16 January 2018 - 05:08 AM,11.69,124.28,008,2.9,008km N 85° W of Kawayan(Biliran)
16 January 2018 - 04:48 AM,11.69,124.26,011,3.9,010km N 84° W of Kawayan(Biliran)
16 January 2018 - 04:43 AM,11.65,124.27,010,4.3,009km S 69° W of Kawayan(Biliran)
16 January 2018 - 03:31 AM,09.26,126.87,027,2.7,073km N 59° E of Cagwait (Surigao Del Sur)
16 January 2018 - 03:11 AM,09.15,126.80,002,3.6,060km N 65° E of Cagwait (Surigao Del Sur)
16 January 2018 - 02:54 AM,05.51,126.42,086,4.2,098km S 65° E of Jose Abad Santos (Davao Occidental)
16 January 2018 - 02:44 AM,10.51,126.58,009,2.8,077km N 46° E of Burgos (Surigao Del Norte)
15 January 2018 - 06:20 PM,16.68,120.85,020,2.3,020km S 76° E of Bakun (Benguet)
15 January 2018 - 04:11 PM,13.23,122.47,004,2.7,014km S 23° W of San Francisco (Aurora) (Quezon)
15 January 2018 - 04:44 AM,06.06,126.19,135,2.7,057km S 74° E of Don Marcelino (Davao Occidental)
