province,risk_level,total_quakes,major_quakes_m3plus,nearest_fault_km,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth,risk_cluster,is_outlier
Abra,Medium,2854,341,0.0,2.28,7.0,1.0,13.83,195.0,1,True
Agusan Del Norte,Low,700,125,0.0,2.44,5.8,1.3,18.03,117.0,0,False
Agusan Del Sur,Medium,1610,189,0.0,2.31,5.3,1.1,24.86,175.0,1,False
Aklan,Low,35,9,0.0,2.46,4.0,1.4,15.63,40.0,0,False
Albay,Low,276,46,0.0,2.36,4.8,1.3,22.35,107.0,0,False
Antique,Low,529,173,0.0,2.76,5.1,1.3,15.17,137.0,0,False
Apayao,Low,333,24,0.0,2.12,4.4,1.3,25.66,119.0,0,False
Aurora,Medium,1242,137,0.0,2.26,5.1,1.2,16.44,102.0,1,False
Basilan,Low,31,5,47.59,2.41,3.8,1.5,31.29,72.0,0,False
Bataan,Low,373,31,38.86,2.16,4.6,1.3,78.3,210.0,0,False
Batanes,Medium,995,550,47.55,3.11,6.7,1.4,29.12,219.0,1,False
Batangas,Medium,5794,620,0.0,2.18,6.6,1.2,78.21,1068.0,1,True
Benguet,Low,326,30,0.0,2.18,4.5,1.2,19.63,127.0,0,False
Biliran,Low,358,80,0.0,2.6,5.0,1.4,10.96,99.0,0,False
Bohol,Medium,1064,90,0.0,2.23,5.9,1.2,20.98,587.0,1,False
Bukidnon,Medium,977,179,0.0,2.5,5.9,1.3,10.57,121.0,1,False
Bulacan,Low,49,4,0.0,1.99,3.3,1.1,21.29,40.0,0,False
Cagayan,Medium,3123,811,0.0,2.6,6.3,1.3,18.9,224.0,1,True
Camarines Norte,Low,487,93,7.3,2.49,5.3,1.3,14.07,121.0,0,False
Camarines Sur,Low,770,114,0.0,2.29,4.5,1.2,14.71,102.0,0,False
Camiguin,Low,28,4,32.52,2.4,4.0,1.7,17.89,45.0,0,False
Capiz,Low,22,2,0.0,2.55,3.7,1.8,17.86,48.0,0,False
Catanduanes,Low,617,183,72.34,2.68,6.2,1.3,23.02,235.0,0,False
Cavite,Low,57,15,0.0,2.4,4.0,1.4,28.25,202.0,0,False
Cebu,Medium,3289,356,0.0,2.21,6.9,1.0,15.62,85.0,1,True
Compostela Valley,Medium,1332,147,0.0,2.29,6.0,1.2,20.39,165.0,1,False
Davao Del Norte,Low,328,58,0.0,2.48,4.9,1.3,24.94,170.0,0,False
Davao Del Sur,Medium,9476,5065,0.0,3.09,7.1,1.2,60.75,667.0,1,True
Davao Oriental,Medium,9083,3161,0.0,2.78,7.4,1.0,42.62,292.0,1,True
Dinagat Islands,Low,688,98,19.73,2.36,5.7,1.3,42.83,214.0,0,False
Eastern Samar,Medium,2672,908,0.0,2.76,6.5,1.4,19.94,193.0,1,True
Guimaras,Low,169,13,37.38,2.27,4.0,1.2,18.97,88.0,0,False
Ifugao,Low,226,17,0.0,2.05,3.8,1.3,24.16,192.0,0,False
Ilocos Norte,Medium,2593,504,0.0,2.45,5.7,1.1,18.4,333.0,1,True
Ilocos Sur,Medium,1825,363,0.0,2.5,5.1,1.2,20.26,151.0,1,False
Iloilo,Low,311,54,0.0,2.48,4.9,1.3,17.92,101.0,0,False
Isabela,Medium,1204,235,0.0,2.48,5.5,1.2,24.71,158.0,1,False
Kalinga,Low,143,15,0.0,2.26,4.0,1.2,26.77,183.0,0,False
La Union,Low,636,99,0.0,2.38,5.5,1.2,28.11,113.0,0,False
Laguna,Low,112,8,0.0,2.0,3.7,1.0,19.89,70.0,0,False
Lanao Del Norte,Low,72,8,0.0,2.29,4.1,1.4,26.29,615.0,0,False
Lanao Del Sur,Low,444,55,0.0,2.35,6.0,1.1,14.35,619.0,0,False
Leyte,Medium,1580,286,0.0,2.46,5.8,1.2,11.53,188.0,1,False
Maguindanao,Low,332,52,0.0,2.44,6.4,1.4,33.17,636.0,0,False
Maguindanao Del Norte,Low,185,24,0.0,2.31,4.9,1.3,23.95,604.0,0,False
Marinduque,Low,176,16,0.0,2.27,3.8,1.2,13.42,58.0,0,False
Masbate,Medium,1872,486,0.0,2.6,6.6,1.2,11.14,123.0,1,False
