Province,DateTime,Alert Level
Albay,2025-11-08 14:06:07,1
Albay,2025-09-24 21:00:00,1
Albay,2025-09-06 17:30:00,1
Albay,2025-07-24 07:00:44,1
Albay,2025-02-21 12:19:26,1
Albay,2024-12-24 23:15:00,1
Albay,2024-12-18 10:00:00,1
Albay,2024-12-01 14:30:00,1
Albay,2024-11-15 20:00:00,1
Albay,2024-10-22 11:00:00,1
Albay,2024-09-01 23:40:00,1
Albay,2024-03-05 17:30:00,1
Albay,2023-12-08 08:00:00,2
Albay,2023-12-08 07:07:30,2
Albay,2023-07-21 10:00:00,3
Albay,2023-07-18 15:30:00,3
Albay,2023-07-10 08:00:00,3
Albay,2023-07-05 22:10:19,3
Albay,2023-07-05 21:37:17,3
Albay,2023-07-04 13:30:00,3
Albay,2023-06-30 20:00:00,3
Albay,2023-06-30 20:00:00,3
Albay,2023-06-26 16:00:00,3
Albay,2023-06-25 08:00:00,3
Albay,2023-06-18 19:42:56,3
Albay,2023-06-10 19:20:00,3
Albay,2023-06-08 12:00:00,3
Albay,2023-06-05 10:00:00,2
Albay,2023-03-16 08:00:00,1
Albay,2022-10-07 15:00:00,2
Albay,2022-08-21 16:00:00,1
Albay,2021-07-30 08:00:00,0
Albay,2021-06-01 18:00:00,1
Albay,2020-11-10 17:00:00,1
Albay,2020-10-30 22:30:00,1
Albay,2020-10-24 17:30:00,1
Albay,2020-07-17 09:30:00,1
Albay,2020-02-05 16:00:00,2
Albay,2018-03-29 08:00:00,2
Albay,2018-03-06 08:00:00,3
Albay,2018-01-27 10:30:00,4
Albay,2018-01-22 13:00:00,4
Albay,2018-01-14 20:00:00,3
Albay,2018-01-14 00:30:00,2
Sorsogon,2025-10-12 08:10:45,1
Sorsogon,2025-05-12 13:30:00,1
Sorsogon,2025-04-29 23:00:00,1
Sorsogon,2025-04-28 20:30:00,1
Sorsogon,2025-04-28 07:00:00,1
Sorsogon,2025-04-22 00:00:00,0
Sorsogon,2024-11-12 08:00:00,1
Sorsogon,2024-01-28 21:40:00,1
Sorsogon,2024-01-23 01:30:00,1
Sorsogon,2024-01-11 10:00:00,1
Sorsogon,2024-01-02 20:00:00,1
Sorsogon,2023-10-25 15:00:00,1
Sorsogon,2023-10-22 18:00:00,0
Sorsogon,2023-09-21 14:00:00,0
Sorsogon,2023-08-01 15:00:00,0
Sorsogon,2023-06-01 15:00:00,0
Sorsogon,2023-05-22 14:00:00,0
Sorsogon,2023-05-09 13:00:00,0
Sorsogon,2023-01-18 19:00:00,0
Sorsogon,2022-10-12 15:00:00,1
Sorsogon,2022-10-07 15:00:00,0
Sorsogon,2022-08-21 18:00:00,0
Sorsogon,2022-06-29 17:00:00,1
Sorsogon,2022-06-27 01:00:00,1
Sorsogon,2022-06-20 23:45:00,1
Sorsogon,2022-06-12 04:20:00,1
Sorsogon,2022-06-05 11:40:00,1
Sorsogon,2021-08-18 08:00:00,0
Sorsogon,2021-06-12 23:00:00,1
Sorsogon,2021-05-11 19:00:00,1
Sorsogon,2021-05-10 19:00:00,0
Sorsogon,2021-03-18 12:00:00,0
Sorsogon,2020-10-26 17:00:00,0
Sorsogon,2020-07-06 18:00:00,1
Sorsogon,2020-01-25 08:00:00,0
Sorsogon,2019-05-05 11:10:00,1
Sorsogon,2018-08-15 08:00:00,0
Negros Oriental,2025-11-03 11:45:02,2
Negros Oriental,2025-10-25 02:53:20,2
Negros Oriental,2025-10-16 10:15:00,2
Negros Oriental,2025-09-15 08:00:54,2
Negros Oriental,2025-09-14 10:30:00,2
Negros Oriental,2025-08-14 10:30:00,2
Negros Oriental,2025-07-29 18:30:00,2
Negros Oriental,2025-06-06 20:40:46,3
Negros Oriental,2025-05-13 04:26:30,3
Negros Oriental,2025-05-12 13:30:00,3
Negros Oriental,2025-04-08 14:09:11,3
Negros Oriental,2025-02-15 18:30:00,3
Negros Oriental,2025-02-06 18:30:00,3
Negros Oriental,2025-01-11 14:00:00,3
Negros Oriental,2024-12-23 12:30:00,3
Negros Oriental,2024-12-18 10:00:00,3
Negros Oriental,2024-12-10 03:30:00,3
Negros Oriental,2024-12-09 15:03:00,3
Negros Oriental,2024-11-09 10:30:00,2
Negros Oriental,2024-10-31 10:30:00,2
Negros Oriental,2024-10-28 22:00:00,2
Negros Oriental,2024-10-19 12:30:00,2
Negros Oriental,2024-10-19 12:28:19,2
Negros Oriental,2024-09-11 19:00:00,2
Negros Oriental,2024-09-11 18:25:59,2
Negros Oriental,2024-09-10 18:00:00,2
Negros Oriental,2024-09-10 11:00:00,2
Negros Oriental,2024-09-09 23:30:00,2
Negros Oriental,2024-08-25 21:30:00,2
Negros Oriental,2024-08-24 17:00:00,2
Negros Oriental,2024-08-21 16:45:00,2
Negros Oriental,2024-08-13 18:30:00,2
Negros Oriental,2024-08-10 23:30:00,2
Negros Oriental,2024-07-15 07:00:00,2
Negros Oriental,2024-07-13 18:30:00,2
Negros Oriental,2024-07-03 13:15:00,2
Negros Oriental,2024-07-02 21:45:00,2
Negros Oriental,2024-07-02 15:30:00,2
Negros Oriental,2024-06-28 18:15:00,2
Negros Oriental,2024-06-08 21:30:00,2
Negros Oriental,2024-06-07 21:00:00,2
Negros Oriental,2024-06-05 23:00:00,2
Negros Oriental,2024-06-04 20:00:00,2
Negros Oriental,2024-06-03 20:00:00,2
Negros Oriental,2024-05-26 17:15:00,1
Negros Oriental,2024-04-30 15:30:00,1
Negros Oriental,2023-11-22 08:30:00,1
Negros Oriental,2023-09-06 09:00:00,1
Negros Oriental,2023-07-21 10:00:00,1
Negros Oriental,2023-05-04 20:30:00,1
Negros Oriental,2023-05-01 07:00:00,1
Negros Oriental,2022-07-03 14:00:00,1
Negros Oriental,2020-03-11 10:00:00,1
Negros Oriental,2019-10-25 08:00:00,0
Negros Oriental,2019-01-11 08:00:00,1
Negros Occidental,2025-11-03 11:45:02,2
Negros Occidental,2025-10-25 02:53:20,2
Negros Occidental,2025-10-16 10:15:00,2
Negros Occidental,2025-09-15 08:00:54,2
Negros Occidental,2025-09-14 10:30:00,2
Negros Occidental,2025-08-14 10:30:00,2
Negros Occidental,2025-07-29 18:30:00,2
Negros Occidental,2025-06-06 20:40:46,3
Negros Occidental,2025-05-13 04:26:30,3
Negros Occidental,2025-05-12 13:30:00,3
Negros Occidental,2025-04-08 14:09:11,3
Negros Occidental,2025-02-15 18:30:00,3
Negros Occidental,2025-02-06 18:30:00,3
Negros Occidental,2025-01-11 14:00:00,3
Negros Occidental,2024-12-23 12:30:00,3
Negros Occidental,2024-12-18 10:00:00,3
Negros Occidental,2024-12-10 03:30:00,3
Negros Occidental,2024-12-09 15:03:00,3
Negros Occidental,2024-11-09 10:30:00,2
Negros Occidental,2024-10-31 10:30:00,2
Negros Occidental,2024-10-28 22:00:00,2
Negros Occidental,2024-10-19 12:30:00,2
Negros Occidental,2024-10-19 12:28:19,2
Negros Occidental,2024-09-11 19:00:00,2
Negros Occidental,2024-09-11 18:25:59,2
Negros Occidental,2024-09-10 18:00:00,2
Negros Occidental,2024-09-10 11:00:00,2
Negros Occidental,2024-09-09 23:30:00,2
Negros Occidental,2024-08-25 21:30:00,2
Negros Occidental,2024-08-24 17:00:00,2
Negros Occidental,2024-08-21 16:45:00,2
Negros Occidental,2024-08-13 18:30:00,2
Negros Occidental,2024-08-10 23:30:00,2
Negros Occidental,2024-07-15 07:00:00,2
Negros Occidental,2024-07-13 18:30:00,2
Negros Occidental,2024-07-03 13:15:00,2
Negros Occidental,2024-07-02 21:45:00,2
Negros Occidental,2024-07-02 15:30:00,2
Negros Occidental,2024-06-28 18:15:00,2
Negros Occidental,2024-06-08 21:30:00,2
