province,risk_level,total_quakes,major_quakes_m3plus,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth,risk_cluster,is_outlier
Surigao Del Sur,Medium,16071,3412,2.47,7.4,1.1,21.57,209.0,1,True
Davao Oriental,Medium,9176,3187,2.77,7.4,1.0,42.64,292.0,1,True
Surigao Del Norte,Medium,8198,1737,2.47,6.2,1.2,20.61,238.0,1,True
Davao Occidental,Medium,7874,4695,3.2,7.1,1.2,69.98,667.0,1,True
Batangas,Medium,5880,628,2.18,6.6,1.2,78.34,1068.0,1,True
Occidental Mindoro,Medium,5480,836,2.38,6.4,1.0,30.45,310.0,1,True
Cebu,Medium,3318,365,2.21,6.9,1.0,15.65,85.0,1,True
Cagayan,Medium,3162,815,2.6,6.3,1.3,18.82,224.0,1,True
Abra,Medium,2898,346,2.28,7.0,1.0,13.84,195.0,1,True
Eastern Samar,Medium,2700,911,2.76,6.5,1.4,19.99,193.0,1,True
Ilocos Norte,Medium,2636,513,2.45,5.7,1.1,18.41,333.0,1,True
Zambales,Medium,2378,325,2.3,6.1,1.1,27.55,172.0,1,True
Cotabato,Medium,2304,442,2.49,6.6,1.4,21.61,422.0,1,True
Masbate,Medium,1911,488,2.59,6.6,1.2,11.08,123.0,1,False
Ilocos Sur,Medium,1848,366,2.5,5.1,1.2,20.23,151.0,1,False
Negros Occidental,Medium,1820,283,2.43,5.1,1.0,17.98,142.0,1,False
Southern Leyte,Medium,1707,246,2.36,5.8,1.2,17.88,209.0,1,False
Davao Del Sur,Medium,1690,414,2.61,6.9,1.4,18.2,247.0,1,False
Agusan Del Sur,Medium,1614,188,2.3,5.3,1.1,24.96,175.0,1,False
Leyte,Medium,1594,286,2.46,5.8,1.2,11.57,188.0,1,False
Quezon,Medium,1549,237,2.34,5.5,1.2,13.41,135.0,1,False
Sarangani,Medium,1468,255,2.4,6.1,1.3,35.26,572.0,1,False
Sultan Kudarat,Medium,1398,276,2.5,7.1,1.2,40.14,686.0,1,False
Negros Oriental,Medium,1366,216,2.43,4.9,1.0,16.49,132.0,1,False
Aurora,Medium,1275,142,2.26,5.1,1.2,16.38,102.0,1,False
Davao De Oro,Medium,1269,129,2.26,6.0,1.2,20.66,165.0,1,False
Northern Samar,Medium,1224,320,2.59,5.7,1.2,25.07,175.0,1,False
Isabela,Medium,1216,238,2.48,5.5,1.2,24.78,158.0,1,False
Pangasinan,Medium,1177,230,2.45,5.5,1.2,27.54,211.0,1,False
Bohol,Medium,1077,91,2.22,5.9,1.2,20.96,587.0,1,False
Zamboanga Del Norte,Medium,1074,178,2.34,5.4,1.2,24.26,176.0,1,False
Batanes,Medium,1009,557,3.11,6.7,1.4,29.18,219.0,1,False
Bukidnon,Medium,985,179,2.5,5.9,1.3,10.65,121.0,1,False
Camarines Sur,Low,801,117,2.28,4.5,1.2,14.8,102.0,0,False
Oriental Mindoro,Low,717,64,2.19,5.1,1.0,19.11,181.0,0,False
Agusan Del Norte,Low,688,122,2.43,5.8,1.3,18.14,117.0,0,False
La Union,Low,652,105,2.39,5.5,1.2,27.97,113.0,0,False
Catanduanes,Medium,621,185,2.68,6.2,1.3,22.99,235.0,1,False
Dinagat Islands,Low,564,76,2.34,5.7,1.3,44.81,214.0,0,False
Antique,Low,534,175,2.76,5.1,1.3,15.17,137.0,0,False
Camarines Norte,Low,492,93,2.48,5.3,1.3,14.16,121.0,0,False
Zamboanga Del Sur,Low,488,65,2.29,4.9,1.2,21.52,122.0,0,False
Lanao Del Sur,Low,450,52,2.32,6.0,1.1,12.49,619.0,0,False
Sorsogon,Low,439,111,2.53,5.4,1.1,28.7,198.0,0,False
South Cotabato,Low,422,46,2.27,5.0,1.3,26.95,414.0,0,False
Nueva Vizcaya,Low,387,40,2.23,4.4,1.3,18.42,96.0,0,False
Bataan,Low,380,32,2.17,4.6,1.3,78.47,210.0,0,False
Biliran,Low,362,80,2.6,5.0,1.4,10.91,99.0,0,False
Apayao,Low,336,25,2.12,4.4,1.3,25.57,119.0,0,False
Davao Del Norte,Low,329,56,2.47,4.9,1.3,25.25,170.0,0,False
Benguet,Low,328,31,2.18,4.5,1.2,19.54,127.0,0,False
Iloilo,Low,316,55,2.49,4.9,1.3,17.92,101.0,0,False
Samar,Low,296,37,2.31,5.2,1.2,37.44,233.0,0,False
Maguindanao,Low,289,51,2.49,6.4,1.5,35.12,636.0,0,False
Albay,Low,288,47,2.36,4.8,1.3,22.17,107.0,0,False
Nueva Ecija,Low,230,15,2.06,4.7,1.2,23.4,186.0,0,False
Ifugao,Low,229,17,2.05,3.8,1.3,24.01,192.0,0,False
Tarlac,Low,219,31,2.24,5.7,1.2,54.04,191.0,0,False
Romblon,Low,212,43,2.47,4.8,1.2,14.53,201.0,0,False
Maguindanao Del Norte,Low,209,30,2.34,4.9,1.3,22.41,604.0,0,False
Mountain Province,Low,181,6,2.02,4.5,1.2,27.18,131.0,0,False
Palawan,Low,178,25,2.4,5.1,1.5,25.39,161.0,0,False
Marinduque,Low,176,16,2.27,3.8,1.2,13.42,58.0,0,False
Guimaras,Low,169,13,2.27,4.0,1.2,18.97,88.0,0,False
North Cotabato,Low,167,41,2.63,5.6,1.5,17.67,96.0,0,False
Zamboanga Sibugay,Low,151,8,1.95,5.0,1.2,26.36,205.0,0,False
Kalinga,Low,144,15,2.26,4.0,1.2,26.72,183.0,0,False
Misamis Oriental,Low,139,37,2.6,4.7,1.4,17.82,168.0,0,False
Dinagat,Low,133,23,2.45,5.4,1.5,35.08,182.0,0,False
Pampanga,Low,118,13,2.27,3.8,1.4,43.14,175.0,0,False
Laguna,Low,112,8,2.0,3.7,1.0,19.89,70.0,0,False
Surigao del Norte,Low,106,32,2.77,5.0,1.8,15.58,99.0,0,False
Quirino,Low,79,4,2.06,4.9,1.4,24.42,108.0,0,False
Compostela Valley,Low,75,19,2.64,4.4,1.8,17.91,58.0,0,False
Surigao del Sur,Low,74,23,2.7,4.0,1.7,29.96,123.0,0,False
Lanao Del Norte,Low,70,7,2.28,4.1,1.4,26.69,615.0,0,False
Siquijor,Low,68,7,2.3,4.4,1.4,30.54,550.0,0,False
Cavite,Low,57,15,2.4,4.0,1.4,28.25,202.0,0,False
Bulacan,Low,50,5,2.02,3.3,1.1,21.02,40.0,0,False
Maguindanao Del Sur,Low,45,1,2.1,3.8,1.4,20.58,139.0,0,False
Sulu,Low,43,32,3.49,4.8,2.1,149.47,621.0,0,False
Western Samar,Low,40,3,2.36,3.6,1.7,26.52,107.0,0,False
Misamis Occidental,Low,39,5,2.32,4.2,1.5,14.64,105.0,0,False
Rizal,Low,39,1,1.94,3.9,1.1,23.95,47.0,0,False
Aklan,Low,38,9,2.4,4.0,1.4,15.89,40.0,0,False
Basilan,Low,31,5,2.41,3.8,1.5,31.29,72.0,0,False
Camiguin,Low,28,4,2.4,4.0,1.7,17.89,45.0,0,False
Capiz,Low,22,2,2.55,3.7,1.8,17.86,48.0,0,False
Tawi-tawi,Low,21,21,4.33,4.8,3.0,274.52,635.0,0,False
